Cons,Im1_Q,Im1_Q1,Im1_Q2,Im1_Q3,Im1_Q5,Im1_Q6,Im1_Q7,Im1_Q8,Im1_Q9,Im1_Q10,Im1_Q13,Im2_Q,Im2_Q1,Im2_Q2,Im2_Q3,Im2_Q5,Im2_Q6,Im2_Q7,Im2_Q8,Im2_Q9,Im2_Q10,Im2_Q13,Im3_Q,Im3_Q1,Im3_Q2,Im3_Q3,Im3_Q5,Im3_Q6,Im3_Q7,Im3_Q8,Im3_Q9,Im3_Q10,Im3_Q13,Im4_Q,Im4_Q1,Im4_Q2,Im4_Q3,Im4_Q5,Im4_Q6,Im4_Q7,Im4_Q8,Im4_Q9,Im4_Q10,Im4_Q13,Im5_Q,Im5_Q1,Im5_Q2,Im5_Q3,Im5_Q5,Im5_Q6,Im5_Q7,Im5_Q8,Im5_Q9,Im5_Q10,Im5_Q13
"Consent

If you wish to participate in the research study, please accept participation by clicking on ""I agree"" button.","An image of a person will appear after you press ""I am ready"" and will disappear after 15 seconds. This will be followed by a few questions related to their appearance.",What is the gender of the person?,What kind of hair does the person have?,What is the color of the hair?,What is the sleeve-size?,What is the most dominant color of clothing that the person is wearing at the top?,What kind of pattern is present on the clothes that the person is wearing at the top?,What kind of clothes is the person wearing in the bottom?,What is the most dominant color of clothing that the person is wearing at the bottom?,What kind of footwear is the person wearing?,What other accessories does the person have? (more than one correct),"An image of a person will appear after you press ""I am ready"" and will disappear after 15 seconds. This will be followed by a few questions related to their appearance.",What is the gender of the person?,What kind of hair does the person have?,What is the color of the hair?,What is the sleeve-size?,What is the most dominant color of clothing that the person is wearing at the top?,What kind of pattern is present on the clothes that the person is wearing at the top?,What kind of clothes is the person wearing in the bottom?,What is the most dominant color of clothing that the person is wearing at the bottom?,What kind of footwear is the person wearing?,What other accessories does the person have? (more than one correct),"An image of a person will appear after you press ""I am ready"" and will disappear after 15 seconds. This will be followed by a few questions related to their appearance.",What is the gender of the person?,What kind of hair does the person have?,What is the color of the hair?,What is the sleeve-size?,What is the most dominant color of clothing that the person is wearing at the top?,What kind of pattern is present on the clothes that the person is wearing at the top?,What kind of clothes is the person wearing in the bottom?,What is the most dominant color of clothing that the person is wearing at the bottom?,What kind of footwear is the person wearing?,What other accessories does the person have? (more than one correct),"An image of a person will appear after you press ""I am ready"" and will disappear after 15 seconds. This will be followed by a few questions related to their appearance.",What is the gender of the person?,What kind of hair does the person have?,What is the color of the hair?,What is the sleeve-size?,What is the most dominant color of clothing that the person is wearing at the top?,What kind of pattern is present on the clothes that the person is wearing at the top?,What kind of clothes is the person wearing in the bottom?,What is the most dominant color of clothing that the person is wearing at the bottom?,What kind of footwear is the person wearing?,What other accessories does the person have? (more than one correct),"An image of a person will appear after you press ""I am ready"" and will disappear after 15 seconds. This will be followed by a few questions related to their appearance.",What is the gender of the person?,What kind of hair does the person have?,What is the color of the hair?,What is the sleeve-size?,What is the most dominant color of clothing that the person is wearing at the top?,What kind of pattern is present on the clothes that the person is wearing at the top?,What kind of clothes is the person wearing in the bottom?,What is the most dominant color of clothing that the person is wearing at the bottom?,What kind of footwear is the person wearing?,What other accessories does the person have? (more than one correct)
I agree,I am ready,Female,Long,Dark,Long-sleeve,Other light color,None of the above,Jeans/Trousers,Blue,Shoes,None of the above,I am ready,Male,Short,Dark,Short-sleeve,Other dark color,None of the above,Jeans/Trousers,Blue,Shoes,None of the above,I am ready,Male,Short,Not sure,Long-sleeve,Other dark color,Logo,None of the above,Other dark color,Shoes,Hat,I am ready,Female,Long,Dark,Short-sleeve,Other light color,Logo,Jeans/Trousers,Blue,Shoes,Sunglasses,I am ready,Male,Short,Not sure,Long-sleeve,Other light color,Stripped,Jeans/Trousers,Blue,Shoes,None of the above
I agree,I am ready,Male,Short,Light,Long-sleeve,Blue,None of the above,Formal-pants,Other light color,Shoes,Sunglasses,I am ready,Male,Short,Not sure,Short-sleeve,Blue,None of the above,Jeans/Trousers,Blue,Boots,Not sure,I am ready,Male,Short,Dark,Not sure,Other dark color,None of the above,Jeans/Trousers,Blue,Shoes,None of the above,I am ready,Female,Not sure,Dark,Short-sleeve,Other dark color,None of the above,Formal-pants,Other dark color,Not sure,Sunglasses,I am ready,Female,Short,Light,Short-sleeve,Other light color,None of the above,Shorts/Hotpants/Capri,Blue,Shoes,Sunglasses
I agree,I am ready,Male,Short,Dark,Short-sleeve,Green,None of the above,Jeans/Trousers,Not sure,Not sure,Not sure,I am ready,Male,Short,Not sure,Long-sleeve,Other dark color,None of the above,Jeans/Trousers,Blue,Shoes,None of the above,I am ready,Male,Long,Dark,Long-sleeve,Green,None of the above,Shorts/Hotpants/Capri,Not sure,Shoes,None of the above,I am ready,Female,Long,Dark,Long-sleeve,Red,None of the above,Skirt,Red,Shoes,None of the above,I am ready,Male,Short,Dark,Long-sleeve,Green,None of the above,Jeans/Trousers,Blue,Shoes,Sunglasses
I agree,I am ready,Female,Long,Light,Short-sleeve,Green,Not sure,Shorts/Hotpants/Capri,Other light color,Shoes,Not sure,I am ready,Male,Not sure,Not sure,Long-sleeve,Other dark color,None of the above,Jeans/Trousers,Other light color,Shoes,Not sure,I am ready,Female,Long,Dark,Long-sleeve,Red,None of the above,Formal-pants,Other dark color,Shoes,Sunglasses,I am ready,Male,Short,Dark,Short-sleeve,Other light color,Not sure,Jeans/Trousers,Other light color,Shoes,Sunglasses,I am ready,Female,Long,Dark,Long-sleeve,Green,Not sure,Formal-pants,Other dark color,Shoes,Sunglasses
I agree,I am ready,Female,Short,Light,Long-sleeve,Other dark color,None of the above,Jeans/Trousers,Other light color,Not sure,Not sure,I am ready,Male,Short,Light,No-sleeve,Other light color,None of the above,Jeans/Trousers,Other dark color,Shoes,Not sure,I am ready,Male,Short,Dark,Short-sleeve,Other light color,Logo,Jeans/Trousers,Other dark color,Shoes,Sunglasses,I am ready,Female,Long,Dark,Long-sleeve,Blue,Not sure,Jeans/Trousers,Blue,Shoes,None of the above,I am ready,Male,Short,Not sure,Short-sleeve,Other light color,Logo,Jeans/Trousers,Blue,Shoes,Hat
I agree,I am ready,Male,Short,Dark,Not sure,Other light color,None of the above,Formal-pants,Other dark color,Not sure,Sunglasses,I am ready,Male,Short,Dark,Short-sleeve,Not sure,Plaid,Jeans/Trousers,Blue,Shoes,Sunglasses,I am ready,Male,Short,Dark,Short-sleeve,Other light color,None of the above,Formal-pants,Other dark color,Shoes,None of the above,I am ready,Male,Short,Dark,Short-sleeve,Other light color,None of the above,Jeans/Trousers,Other dark color,Shoes,Sunglasses,I am ready,Male,Short,Light,Short-sleeve,Green,None of the above,Jeans/Trousers,Green,Shoes,None of the above
I agree,I am ready,Male,Short,Not sure,Long-sleeve,Other dark color,None of the above,Jeans/Trousers,Other light color,Shoes,Not sure,I am ready,Male,Short,Dark,Long-sleeve,Other light color,None of the above,Jeans/Trousers,Other dark color,Shoes,None of the above,I am ready,Female,Long,Dark,Not sure,Green,None of the above,Shorts/Hotpants/Capri,Other light color,Not sure,Not sure,I am ready,Female,Long,Light,No-sleeve,Other light color,None of the above,Skirt,Other dark color,Sandals,Hat,I am ready,Male,Short,Dark,Long-sleeve,Other light color,None of the above,Jeans/Trousers,Other dark color,Not sure,Not sure
I agree,I am ready,Male,Not sure,Dark,Not sure,Blue,Not sure,Not sure,Not sure,Not sure,"Sunglasses,Hat",I am ready,Male,Short,Dark,Long-sleeve,Other dark color,None of the above,Jeans/Trousers,Other dark color,Not sure,None of the above,I am ready,Male,Short,Dark,Short-sleeve,Other light color,None of the above,Shorts/Hotpants/Capri,Other light color,Shoes,Not sure,I am ready,Female,Long,Light,Long-sleeve,Not sure,Not sure,None of the above,Other dark color,Not sure,Not sure,I am ready,Female,Long,Dark,Short-sleeve,Blue,Logo,Jeans/Trousers,Other dark color,Shoes,None of the above
I agree,I am ready,Female,Short,Dark,Long-sleeve,Other dark color,Not sure,Jeans/Trousers,Blue,Shoes,Sunglasses,I am ready,Not sure,Not sure,Dark,Long-sleeve,Other dark color,None of the above,Not sure,Other dark color,Not sure,"Sunglasses,Hat",I am ready,Female,Long,Light,Short-sleeve,Green,None of the above,Not sure,Not sure,Sandals,Not sure,I am ready,Male,Long,Dark,Short-sleeve,Other light color,Plaid,Jeans/Trousers,Other dark color,Shoes,None of the above,I am ready,Male,Short,Dark,Short-sleeve,Other dark color,Logo,Jeans/Trousers,Blue,Shoes,None of the above
